guid,tag
4597,negative
26,neutral
4383,negative
212,positive
2626,positive
3042,neutral
4713,positive
2073,negative
2020,positive
2688,negative
4956,positive
3143,positive
3624,positive
202,negative
4486,positive
4895,positive
2855,positive
3066,positive
2100,negative
3457,positive
4776,positive
4784,neutral
1921,positive
951,negative
231,positive
396,neutral
1305,negative
4001,negative
3786,negative
403,positive
3669,negative
3244,positive
3922,negative
1986,positive
445,positive
743,positive
725,positive
607,positive
4208,positive
138,positive
1562,positive
3874,positive
2164,positive
1383,negative
1541,positive
4002,negative
2044,neutral
1688,positive
2442,positive
3888,positive
1084,positive
2787,neutral
1437,positive
3537,neutral
3452,negative
4442,negative
1534,negative
3343,positive
4744,positive
4047,neutral
764,positive
3907,positive
4106,neutral
568,negative
291,positive
1355,positive
2057,negative
3788,positive
1073,neutral
3095,negative
618,neutral
542,negative
195,negative
500,positive
940,positive
2106,positive
3215,positive
3274,negative
4511,positive
1148,positive
1502,negative
4404,positive
582,neutral
4709,positive
399,positive
2757,positive
1547,negative
1704,positive
409,positive
703,negative
2069,negative
1686,positive
4414,negative
3805,positive
4043,positive
4334,positive
2997,positive
4915,negative
1394,neutral
5022,negative
2328,negative
1989,positive
1757,positive
1007,positive
3993,positive
3830,negative
1610,positive
4821,positive
3647,positive
1865,negative
2384,positive
561,positive
78,positive
3063,neutral
447,positive
3627,positive
4806,positive
269,neutral
1203,positive
1015,positive
3056,neutral
2832,neutral
3971,positive
3077,negative
320,negative
73,neutral
1954,positive
1730,negative
3681,positive
1172,positive
1414,positive
3913,positive
3155,negative
5078,negative
4699,positive
170,positive
1493,positive
4226,positive
3538,negative
635,positive
1328,positive
2118,negative
2673,negative
4657,neutral
927,neutral
329,positive
3734,negative
637,neutral
4304,negative
4130,neutral
3901,negative
4356,negative
4491,positive
4167,negative
4216,positive
605,positive
1673,positive
4638,positive
3606,positive
4314,positive
4723,positive
4964,positive
2994,positive
4937,positive
4339,positive
29,positive
3260,positive
3493,positive
3807,neutral
2535,positive
2720,neutral
2594,positive
2454,neutral
4661,positive
4104,positive
3233,negative
1157,negative
1107,positive
492,positive
2718,negative
4044,positive
2161,positive
1067,positive
1110,positive
502,neutral
2998,negative
4696,negative
1138,negative
926,positive
4939,negative
4422,negative
1245,positive
1792,positive
2525,positive
1540,negative
1249,positive
3772,negative
71,positive
2753,positive
4153,negative
3916,negative
884,negative
4142,neutral
3539,negative
987,positive
5031,positive
2672,negative
2808,positive
1943,negative
3601,positive
610,positive
3089,negative
2872,positive
548,positive
3657,negative
1979,positive
1053,positive
1653,positive
2725,neutral
367,negative
903,positive
800,positive
1984,positive
1079,positive
142,neutral
2425,positive
376,negative
837,negative
4170,negative
521,positive
436,neutral
4389,negative
3100,positive
593,negative
1222,positive
251,positive
4973,positive
1287,positive
535,positive
2826,positive
229,positive
4275,positive
736,positive
4982,negative
3247,negative
392,negative
4392,positive
4162,positive
821,positive
3093,negative
526,positive
2886,positive
4258,negative
996,positive
2982,negative
4523,negative
4412,positive
5049,negative
2700,neutral
157,positive
1404,negative
3767,positive
5054,positive
2965,positive
5062,negative
1033,positive
990,positive
3667,negative
345,negative
3112,negative
338,positive
2669,positive
1727,positive
4607,positive
113,positive
717,positive
2892,positive
4176,positive
4926,positive
929,negative
3147,negative
880,negative
4941,positive
2087,negative
1561,negative
4756,negative
539,negative
4763,negative
288,positive
5025,negative
3726,negative
4614,positive
1546,negative
3314,negative
3098,positive
452,negative
225,positive
2079,positive
1691,neutral
504,positive
1864,positive
3575,negative
465,positive
714,positive
4635,neutral
2715,positive
2373,positive
3723,negative
4574,positive
5122,positive
1800,neutral
4758,positive
49,positive
66,positive
4955,positive
3141,negative
2510,positive
164,negative
2435,neutral
3864,positive
1419,neutral
1892,negative
804,positive
4196,negative
4496,positive
3675,positive
3676,positive
1456,positive
1764,positive
3242,positive
4350,negative
3178,positive
1365,negative
2977,positive
216,positive
1553,positive
1432,positive
3991,positive
402,negative
166,positive
1530,negative
4384,negative
4742,positive
4110,neutral
5089,negative
197,positive
5084,positive
3202,neutral
4200,negative
4279,positive
3133,negative
691,positive
3387,positive
3783,positive
1315,positive
4171,positive
843,positive
3563,negative
3176,positive
4209,positive
1194,positive
2014,positive
3764,positive
3257,negative
696,positive
2645,negative
3956,negative
2339,negative
3074,positive
1706,positive
4120,positive
1613,positive
3562,negative
1462,positive
2605,negative
4598,negative
4993,positive
337,positive
3148,positive
2336,positive
4712,negative
4818,negative
4556,positive
2675,negative
5112,negative
4236,positive
569,positive
1526,negative
2724,neutral
1196,neutral
1270,positive
3524,negative
4194,negative
2444,positive
4610,positive
1991,positive
4548,positive
3897,positive
2374,neutral
3688,positive
3603,positive
2947,positive
4934,positive
3318,neutral
1225,positive
1669,positive
4420,negative
4088,neutral
1017,positive
983,positive
4875,positive
1211,positive
3970,positive
1094,positive
653,positive
3045,positive
4045,positive
1044,neutral
662,positive
120,positive
4233,positive
2843,negative
4951,positive
3996,negative
3545,negative
22,negative
28,positive
732,negative
2816,negative
2732,neutral
1143,positive
4093,positive
2789,positive
2167,negative
1161,positive
3162,positive
718,neutral
21,positive
632,negative
1102,negative
4881,positive
4217,positive
2060,neutral
4290,negative
1955,negative
1835,negative
3674,neutral
3205,negative
2065,positive
2894,positive
1221,positive
4322,positive
4324,positive
1210,positive
1837,neutral
1055,positive
3437,positive
3643,positive
3596,positive
976,positive
564,positive
3722,negative
511,neutral
4732,positive
733,positive
3852,positive
514,positive
2387,negative
5121,positive
3175,negative
4134,positive
2950,negative
4831,negative
4031,positive
578,positive
177,positive
4184,negative
4584,negative
3797,neutral
1767,positive
4468,neutral
4123,positive
280,negative
4382,positive
1520,negative
3482,negative
1420,positive
3789,positive
665,positive
788,neutral
4987,positive
1158,negative
1081,positive
3661,negative
2376,positive
3468,positive
5010,positive
1275,positive
710,positive
1595,positive
4432,positive
295,positive
1507,negative
2751,positive
2030,positive
931,negative
2036,positive
3388,positive
4160,negative
984,neutral
4249,positive
2552,neutral
4027,positive
2900,positive
1972,negative
410,positive
1119,positive
4787,positive
742,positive
1154,positive
4096,positive
2968,negative
1967,negative
1957,negative
2706,negative
979,positive
993,neutral
3125,negative
1872,neutral
161,positive
4148,neutral
3122,positive
2683,positive
2447,neutral
5044,positive
2739,positive
1325,positive
4901,negative
2126,negative
846,positive
4423,negative
2623,positive
4793,positive
3949,negative
2143,neutral
3104,positive
4848,negative
4547,positive
4888,negative
2426,positive
1569,positive
1001,positive
1078,negative
1083,positive
4761,positive
603,positive
1028,neutral
2542,positive
1259,positive
3323,positive
2010,positive
690,negative
1618,positive
5011,positive
2043,positive
5003,negative
3544,negative
781,positive
1341,positive
4869,positive
1449,positive
353,positive
1214,positive
2980,negative
2101,positive
2860,positive
3850,negative
5018,positive
4159,negative
4109,positive
389,negative
3282,positive
4927,positive
2648,positive
3699,negative
757,positive
1330,positive
3034,positive
4495,positive
1200,positive
3461,positive
3223,negative
3811,positive
3582,positive
562,positive
4529,positive
5074,negative
1082,positive
5030,positive
2604,positive
2795,positive
498,positive
3598,positive
925,positive
256,positive
701,negative
1153,neutral
2091,negative
2891,positive
1888,positive
2727,neutral
2136,positive
722,positive
516,neutral
1801,positive
853,positive
3890,positive
889,positive
2319,neutral
4326,positive
734,positive
4764,negative
1295,positive
268,positive
5079,positive
941,positive
3529,neutral
4254,positive
3728,negative
2168,positive
5047,positive
5026,positive
820,positive
68,positive
2617,negative
3936,positive
4465,negative
1422,positive
5086,negative
4704,positive
316,negative
3841,positive
3592,positive
4021,positive
3182,positive
536,positive
3623,positive
975,positive
4791,positive
707,positive
1811,negative
2865,negative
4849,negative
3926,positive
3727,negative
2862,neutral
4835,positive
3983,positive
2494,positive
3113,positive
1676,negative
995,positive
1965,positive
3857,positive
2850,positive
3794,neutral
468,positive
802,negative
451,negative
5005,negative
1320,positive
4830,negative
966,positive
4158,negative
1658,positive
655,positive
4841,negative
828,neutral
4004,negative
3742,positive
4770,positive
1156,negative
4769,positive
597,negative
3867,negative
1939,positive
1687,positive
1555,positive
84,positive
894,positive
4395,negative
3470,positive
2011,positive
1357,positive
3932,positive
5119,positive
5103,positive
328,positive
485,negative
1208,positive
1832,negative
4128,positive
1683,positive
4086,neutral
934,negative
318,negative
393,positive
5028,neutral
4073,negative
2366,neutral
3708,positive
2783,negative
2875,neutral
3420,negative
612,positive
1523,positive
1570,positive
512,positive
783,negative
2503,positive
4991,positive
3664,negative
874,negative
315,positive
4301,negative
5093,positive
1884,neutral
2002,negative
1176,positive
2695,positive
3989,negative
3732,negative
3555,negative
2441,positive
69,negative
3703,neutral
2713,neutral
2961,negative
95,positive
1380,negative
3522,negative
3037,positive
4241,positive
3640,positive
1187,positive
1585,positive
4850,negative
1137,positive
1240,positive
2670,negative
3506,positive
1278,neutral
153,negative
5016,positive
3587,positive
3536,negative
102,positive
118,negative
2806,positive
866,negative
3278,negative
1976,positive
1748,positive
2371,neutral
688,positive
3249,positive
3481,positive
4573,positive
3101,positive
1605,positive
860,positive
3855,positive
3115,positive
1470,positive
1786,positive
4133,positive
1002,positive
2462,negative
981,positive
997,positive
625,negative
2692,negative
4602,negative
2799,positive
304,positive
1975,positive
4938,negative
1515,negative
3208,positive
4641,positive
4238,positive
592,positive
5118,positive
2529,positive
4672,positive
4600,positive
3583,negative
5036,positive
3502,positive
3736,negative
3860,positive
825,neutral
3787,negative
3019,positive
770,positive
1131,positive
4447,positive
281,positive
3488,negative
858,positive
3974,positive
322,positive
1739,negative
868,neutral
965,negative
4711,negative
408,positive
4749,positive
4663,positive
835,positive
3589,positive
2791,positive
4391,positive
3673,neutral
2108,positive
75,negative
1535,positive
3332,negative
83,positive
1413,negative
2964,positive
2613,positive
2561,neutral
3426,negative
2459,neutral
1558,positive
3380,neutral
621,neutral
56,neutral
1362,negative
2782,positive
1745,positive
1024,positive
1925,positive
4337,negative
1487,positive
1726,positive
2663,negative
4042,positive
2074,positive
1932,negative
148,positive
4701,positive
1386,negative
4788,positive
2313,negative
3416,negative
4426,positive
1689,negative
1264,negative
4861,positive
1781,neutral
4012,positive
1617,positive
1438,positive
1784,negative
3829,neutral
4446,negative
891,positive
2773,positive
2081,positive
832,negative
2809,negative
4781,negative
3430,negative
2726,neutral
3577,neutral
4048,negative
4899,positive
729,positive
669,neutral
